OrderDetailID,OrderID,ProductID,Quantity,TotalAmount
1,1702,59,4,4526.36
2,1505,188,7,26598.46
3,1686,304,8,1048.16
4,1193,150,9,9526.14
5,335,115,8,17904.24
6,49,152,6,20218.92
7,1217,209,5,12302.2
8,668,98,5,19087.3
9,93,259,9,24160.32
10,350,253,9,35595.36
11,1312,96,8,4762.32
12,2756,109,10,37540.0
13,2198,159,5,19603.9
14,851,191,5,15590.8
15,1223,99,4,11624.88
16,2970,414,7,12067.16
17,1548,247,2,7006.02
18,316,465,9,29143.8
19,1089,115,2,4476.06
20,875,394,1,77.94
21,133,118,4,19193.52
22,1019,61,4,8477.92
23,2870,405,5,13731.0
24,2878,341,7,21271.74
25,332,422,6,26423.28
26,490,425,2,6310.6
27,199,218,10,24568.9
28,49,118,1,4798.38
29,245,220,1,2644.72
30,1751,222,7,4929.05
31,1378,152,1,3369.82
32,725,96,1,595.29
33,2623,206,3,11376.99
34,2220,60,10,6475.8
35,582,316,4,18780.96
36,2769,60,5,3237.9
37,2608,385,9,32965.83
38,660,55,3,5172.39
39,1084,361,10,14752.1
40,2030,351,8,29207.6
41,1461,48,6,14616.0
42,2116,343,5,21429.45
43,1608,349,5,16035.1
44,2559,280,6,19948.38
45,501,442,5,12491.05
46,1731,287,4,3163.28
47,965,234,5,840.7
48,631,198,5,1648.25
49,1171,419,3,756.09
50,1364,354,9,9081.36
51,644,487,5,12725.65
52,403,32,9,12234.15
53,942,162,5,22504.0
54,2596,437,9,22210.65
55,799,93,2,5428.08
56,243,378,3,5079.99
57,1792,356,8,18176.0
58,1191,465,9,29143.8
59,784,184,4,14632.0
60,614,186,2,1142.94
61,1512,58,8,35421.92
62,2129,315,3,11566.59
63,1541,355,3,14509.68
64,1835,473,4,14883.8
65,2031,181,6,17611.32
66,1145,489,10,11422.3
67,688,197,2,7930.92
68,2584,286,6,25653.36
69,2868,368,6,999.0
70,665,469,4,5813.32
71,2114,111,1,1600.96
72,853,184,7,25606.0
73,1908,297,2,4351.48
74,858,345,1,3583.06
75,1960,228,9,28808.37
76,469,24,1,2407.02
77,1217,225,7,7630.63
78,2734,487,7,17815.91
79,1152,307,3,6524.34
80,2172,333,8,17378.32
81,2045,17,5,2632.3
82,1451,123,2,6883.1
83,565,330,2,7742.82
84,792,186,10,5714.7
85,484,329,2,836.06
86,2861,58,6,26566.44
87,105,424,3,10869.87
88,713,348,6,9588.48
89,1535,284,7,22204.28
90,662,330,3,11614.23
91,1817,344,7,30588.81
92,721,65,3,3652.23
93,340,450,3,2441.67
94,378,123,7,24090.85
95,2025,103,4,3711.04
96,2682,242,7,16154.04
97,2089,495,8,19197.68
98,968,465,4,12952.8
99,331,227,9,15334.56
100,1346,68,10,16712.9
101,1268,44,1,257.13
102,15,18,9,665.1
103,2082,239,10,43961.2
104,876,140,4,5665.04
105,193,310,5,2287.8
106,2594,26,7,9335.62
107,2116,105,9,6367.41
108,134,171,1,2048.88
109,2198,229,2,7642.72
110,1342,210,9,9719.64
111,2252,22,1,4568.29
112,2654,133,4,9355.0
113,2837,336,6,8008.56
114,504,132,10,9346.5
115,2803,21,9,25941.69
116,2131,122,2,3184.6
117,2208,325,2,8490.9
118,2107,178,7,29350.72
119,2684,431,2,731.42
120,1540,38,1,1985.87
121,188,208,3,12314.79
122,1672,127,5,5270.35
123,1620,489,6,6853.38
124,1741,362,9,17437.5
125,500,302,3,9436.5
126,1074,72,8,11996.64
127,2585,226,10,35977.3
128,2736,399,2,9949.86
129,110,296,2,8736.24
130,2315,401,4,13880.44
131,526,289,9,33551.46
132,1298,14,2,4369.78
133,2506,414,1,1723.88
134,1844,190,8,17696.72
135,1048,374,1,1690.87
136,241,399,8,39799.44
137,1628,412,8,10614.88
138,1828,477,6,20195.82
139,1345,25,7,20281.24
140,531,170,5,9522.9
141,2455,219,3,8808.15
142,1708,419,5,1260.15
143,2663,311,6,4154.34
144,2113,471,6,23077.14
145,2868,354,10,10090.4
146,1701,273,6,13180.44
147,2812,228,5,16004.65
148,2780,74,3,13161.54
149,390,85,10,45293.6
150,478,56,6,18935.34
151,743,361,10,14752.1
152,2519,348,1,1598.08
153,2806,40,6,9229.68
154,1473,465,10,32382.0
155,2564,149,9,35330.85
156,631,84,7,29655.29
157,1179,197,1,3965.46
158,783,261,6,22904.46
159,667,279,1,4763.63
160,1142,299,1,2320.4
161,766,167,5,16753.7
162,451,431,2,731.42
163,1912,139,5,2028.25
164,1660,277,8,24179.84
165,1122,170,2,3809.16
166,1684,260,1,4770.49
167,2995,120,6,8046.54
168,2514,142,4,9677.0
169,2132,45,3,10214.13
170,2713,275,8,13301.76
171,1726,50,7,18116.0
172,1259,177,2,439.24
173,2632,374,3,5072.61
174,169,491,6,1149.12
175,269,114,7,31478.58
176,2114,101,6,19978.08
177,882,431,3,1097.13
178,2559,128,1,4427.72
179,255,132,5,4673.25
180,2158,307,3,6524.34
181,1316,97,6,6761.34
182,2565,17,5,2632.3
183,163,290,8,27911.2
184,2266,85,7,31705.52
185,1335,385,7,25640.09
186,978,91,9,23125.77
187,209,499,4,521.68
188,151,199,6,8225.58
189,2216,98,1,3817.46
190,1389,477,10,33659.7
191,1069,51,7,3109.47
192,769,23,9,9769.77
193,2188,295,4,5118.24
194,2960,347,1,4936.85
195,2494,383,5,10138.95
196,1425,28,5,22307.7
197,759,115,1,2238.03
198,650,393,5,6037.3
199,746,336,10,13347.6
200,2395,157,2,1243.68
201,2954,91,9,23125.77
202,439,405,1,2746.2
203,142,151,2,6710.9
204,2947,164,9,36496.44
205,723,392,7,13376.58
206,2449,60,1,647.58
207,2139,237,1,3572.22
208,1941,454,9,13458.33
209,740,96,10,5952.9
210,1655,73,10,24417.8
211,353,284,2,6344.08
212,986,10,6,20395.02
213,2561,451,6,15927.78
214,2562,111,7,11206.72
215,785,394,6,467.64
216,58,300,1,4086.68
217,2694,121,1,53.5
218,552,253,9,35595.36
219,1388,26,4,5334.64
220,1861,14,1,2184.89
221,1069,478,4,13063.04
222,1207,272,9,474.84
223,460,26,3,4000.98
224,2080,173,8,39697.36
225,2603,14,9,19664.01
226,828,148,4,13515.52
227,1536,14,3,6554.67
228,253,193,3,11321.49
229,1914,189,10,19976.3
230,2239,113,7,26168.87
231,2402,29,10,24573.3
232,1595,351,8,29207.6
233,812,225,3,3270.27
234,2240,369,1,4337.87
235,2378,474,8,39518.8
236,595,239,10,43961.2
237,2649,493,7,14689.99
238,1366,394,9,701.46
239,1623,460,10,33527.6
240,1595,237,7,25005.54
241,2321,282,3,5209.62
242,360,92,5,3098.55
243,2051,323,10,13566.9
244,2603,478,4,13063.04
245,2925,338,10,38402.5
246,662,409,4,1812.12
247,1005,403,2,1928.18
248,1907,446,6,29232.9
249,1698,357,4,3341.56
250,2371,3,8,21776.32
251,1048,231,2,2036.04
252,2141,443,6,14686.8
253,820,498,6,26272.56
254,350,46,10,30867.1
255,1960,244,3,1116.45
256,2979,45,9,30642.39
257,2654,35,8,38414.0
258,671,481,3,2652.45
259,2415,338,6,23041.5
260,2048,191,6,18708.96
261,831,60,7,4533.06
262,2266,82,8,30551.76
263,1461,255,9,28406.52
264,1250,299,9,20883.6
265,2046,78,8,3195.76
266,1604,202,6,28348.08
267,1992,321,5,9694.2
268,2826,166,9,28740.42
269,2144,57,1,2385.49
270,1861,259,7,18791.36
271,1999,212,7,15752.45
272,2491,267,4,18610.96
273,769,392,7,13376.58
274,2997,408,3,11871.45
275,1752,224,8,5981.44
276,1875,304,5,655.1
277,418,100,4,17090.72
278,47,422,2,8807.76
279,2196,368,1,166.5
280,2969,273,5,10983.7
281,275,162,6,27004.8
282,2111,159,6,23524.68
283,1257,190,7,15484.63
284,208,128,4,17710.88
285,2791,242,6,13846.32
286,2526,230,9,12637.17
287,1098,350,2,9544.8
288,2977,151,4,13421.8
289,1811,422,9,39634.92
290,2715,77,1,3519.53
291,477,434,1,4610.55
292,116,30,5,19148.0
293,661,277,2,6044.96
294,930,298,4,3637.36
295,823,422,4,17615.52
296,2980,108,6,975.9
297,2982,373,8,7354.16
298,1944,119,2,5741.94
299,2759,47,5,24915.0
300,657,338,2,7680.5
301,41,26,7,9335.62
302,162,424,8,28986.32
303,820,182,8,9100.88
304,308,59,8,9052.72
305,2634,303,4,13885.6
306,2066,472,9,13857.03
307,850,272,5,263.8
308,1115,382,3,6708.81
309,2907,280,10,33247.3
310,2172,255,7,22093.96
311,312,372,3,757.59
312,1998,59,1,1131.59
313,1165,464,3,2618.1
314,2326,62,2,4598.46
315,1938,353,3,1708.05
316,737,482,7,11013.17
317,583,288,2,6900.68
318,627,350,6,28634.4
319,1743,308,1,3723.78
320,2902,458,1,275.21
321,1310,399,5,24874.65
322,722,231,1,1018.02
323,1741,352,9,32439.96
324,490,195,4,5350.92
325,1807,393,8,9659.68
326,1719,81,8,24374.16
327,1839,118,1,4798.38
328,1811,350,2,9544.8
329,1462,350,6,28634.4
330,230,27,8,34988.48
331,2391,301,2,9488.68
332,1178,392,3,5732.82
333,947,9,2,9099.98
334,2605,282,10,17365.4
335,367,116,9,22884.48
336,337,155,7,14584.64
337,2416,157,9,5596.56
338,1842,209,9,22143.96
339,71,197,2,7930.92
340,295,70,3,7849.17
341,1740,467,7,3073.0
342,730,91,2,5139.06
343,2706,102,4,3906.6
344,2568,202,4,18898.72
345,1186,99,2,5812.44
346,907,235,10,7237.5
347,2911,45,7,23832.97
348,1014,52,6,20712.3
349,843,483,10,49887.2
350,2270,11,5,5909.9
351,949,455,3,10028.7
352,393,148,6,20273.28
353,2782,304,4,524.08
354,1619,436,7,4424.98
355,2653,40,6,9229.68
356,771,58,3,13283.22
357,116,462,1,905.47
358,1425,190,5,11060.45
359,1494,62,7,16094.61
360,2897,390,7,18201.96
361,2114,118,1,4798.38
362,1233,118,4,19193.52
363,2621,249,8,34582.72
364,2892,428,2,3516.16
365,467,395,3,11689.62
366,754,248,3,12911.1
367,1710,293,10,12333.6
368,397,458,3,825.63
369,1856,33,6,20148.84
370,541,2,4,11102.08
371,1057,139,10,4056.5
372,1601,97,9,10142.01
373,691,29,9,22115.97
374,154,40,1,1538.28
375,2346,49,4,4016.48
376,234,289,10,37279.4
377,735,452,7,7379.89
378,612,463,3,1406.94
379,208,180,5,21715.7
380,1061,7,4,3084.76
381,332,41,7,19999.07
382,2863,35,4,19207.0
383,1140,170,1,1904.58
384,1166,188,4,15199.12
385,895,240,3,1316.1
386,999,380,1,2744.26
387,2733,440,10,31144.5
388,1639,42,4,688.08
389,1671,234,1,168.14
390,324,46,3,9260.13
391,1492,46,4,12346.84
392,1454,405,5,13731.0
393,378,359,8,31814.24
394,2257,221,2,1852.92
395,1747,431,7,2559.97
396,908,348,5,7990.4
397,199,263,4,16766.16
398,1420,60,1,647.58
399,681,161,5,24653.55
400,729,419,5,1260.15
401,1581,318,7,14578.06
402,589,311,5,3461.95
403,1947,63,2,1000.5
404,84,329,6,2508.18
405,1298,31,5,3880.45
406,2650,401,8,27760.88
407,1510,242,9,20769.48
408,670,364,3,324.12
409,2871,377,5,5706.75
410,2620,254,6,15573.12
411,2588,83,10,9145.3
412,1273,187,3,14282.94
413,1758,305,5,5314.45
414,1634,162,8,36006.4
415,1730,309,8,23427.12
416,962,259,4,10737.92
417,1818,284,7,22204.28
418,2305,292,1,2089.81
419,685,171,3,6146.64
420,2329,499,2,260.84
421,1502,124,10,42086.8
422,2587,475,10,13201.9
423,2040,159,9,35287.02
424,1858,331,4,15678.96
425,708,376,5,6793.3
426,799,365,4,19797.8
427,539,377,6,6848.1
428,2748,12,7,9857.96
429,30,320,4,14914.56
430,968,407,2,1128.3
431,420,413,1,2087.54
432,1116,114,3,13490.82
433,25,192,5,2579.15
434,2897,1,2,9127.32
435,2604,188,10,37997.8
436,1352,487,1,2545.13
437,1351,458,8,2201.68
438,63,346,4,13195.8
439,2132,433,9,16745.22
440,2681,165,6,3058.68
441,2744,266,9,35133.93
442,905,132,2,1869.3
443,1491,459,1,3902.82
444,400,180,10,43431.4
445,2442,318,9,18743.22
446,1081,260,5,23852.45
447,2539,349,4,12828.08
448,2416,58,3,13283.22
449,2002,426,1,2738.98
450,2698,36,5,10485.3
451,872,202,5,23623.4
452,441,273,10,21967.4
453,2106,394,6,467.64
454,378,119,10,28709.7
455,1073,87,9,5965.74
456,2738,487,9,22906.17
457,767,20,9,34655.31
458,646,439,9,13477.86
459,1632,248,1,4303.7
460,2813,259,9,24160.32
461,1934,267,8,37221.92
462,7,4,5,20855.45
463,529,302,8,25164.0
464,2718,14,4,8739.56
465,275,294,7,3660.58
466,2274,323,3,4070.07
467,1636,200,9,30235.41
468,99,367,7,30031.4
469,947,402,10,12458.0
470,2250,364,2,216.08
471,2757,467,3,1317.0
472,122,379,6,4456.08
473,951,167,2,6701.48
474,1330,319,7,33778.36
475,1953,193,2,7547.66
476,1144,185,8,37122.64
477,2233,11,3,3545.94
478,1387,233,5,22403.65
479,79,259,2,5368.96
480,2655,241,3,11822.97
481,1951,368,7,1165.5
482,2586,238,7,17825.71
483,1900,485,10,34169.0
484,1423,108,8,1301.2
485,1936,286,10,42755.6
